Park Name,"Web-
site",Region,County or Counties,Size,Year Established,Status,Remarks
Mayo River State Park,[22],Piedmont,Rockingham,"2,778 acres (11.24 km2)",2003,Open,"Under development;
This new, still growing park is located along the Mayo River."
Medoc Mountain State Park,[23],Piedmont,Halifax,"3,893 acres (15.75 km2)",1973,Open,"At 325 foot (99 m), Medoc Mountain isn't a true mountain but rather the remnant of a former mountain range which eroded long ago.  The park preserves the land around the Medoc, as well as the banks of nearby Little Fishing Creek."
Merchants Millpond State Park,[24],Coastal Plain,Gates,"3,520 acres (14.2 km2)",1973,Open,"The park protects a unique, cypress filled millpond and the Lassiter Swamp."
Morrow Mountain State Park,[25],Piedmont,Stanly,"5,702 acres (23.08 km2)",1935,Open,"At 936 foot (285 m), Morrow Mountain is the fourth tallest peak of the Uwharrie Mountains, and the park encompasses several peaks of the range, just west of the Yadkin / Pee Dee River."
Mount Mitchell State Park,[26],Mountains,Yancey,"4,789 acres (19.38 km2)",1916,Open,"The first North Carolina State Park, it protects the summit of Mount Mitchell the highest point in the eastern United States."
New River State Park,[27],Mountains,"Alleghany, Ashe","3,323 acres (13.45 km2)",1975,Open,"This park preserves the landscape along the New River, which is Wild and Scenic River and a State River."
Pettigrew State Park,[28],Coastal Plain,"Tyrrell, Washington","5,951 acres (24.08 km2)",1936,Open,"The park protects the banks of Lake Phelps, the state's second largest natural lake, and the Scuppernong River."
Pilot Mountain State Park,[29],Piedmont,"Surry, Yadkin","3,872 acres (15.67 km2)",1968,Open,"The park encompasses the western end of the Sauratown Mountain range, including Pilot Mountain, as well as an island filled segment of the Yadkin River."
Pisgah View State Park,[30],Mountains,"Buncombe, Haywood",205 acres (0.83 km2),2019,Closed,"Planned State Park on the property of Pisgah View Ranch, near Mount Pisgah and Pisgah National Forest."
Raven Rock State Park,[31],Piedmont,Harnett,"4,810 acres (19.5 km2)",1970,Open,"Located along both banks of the Cape Fear River, the park encompasses a rock outcropping where the river crosses the Fall Line."
Rendezvous Mountain State Park,[32],Mountains,Wilkes,"1,800 acres (7.3 km2)",1926,Open,Popularly rumored to have been an assembly point for the Overmountain Men during the Revolutionary War.
Singletary Lake State Park,[33],Coastal Plain,Bladen,649 acres (2.63 km2),1939,Limited,"The park surrounds Singletary Lake, which is a State Lake and a Carolina Bay lake.  The park's facilities are usually reserved for registered group campers, but limited day use may be allowed while the camps are unoccupied."
South Mountains State Park,[34],Mountains,Burke,"20,949 acres (84.78 km2)",1978,Open,"Under redevelopment;
The largest unit of the state park system, it encompasses a large part of the South Mountains range, which is a branch of the Blue Ridge Mountains."
Stone Mountain State Park,[35],Mountains,"Alleghany, Wilkes","14,353 acres (58.08 km2)",1969,Open,"Adjacent to the Blue Ridge Parkway, this large park's centerpiece is a granite dome named Stone Mountain."
William B. Umstead State Park,[36],Piedmont,Wake,"5,599 acres (22.66 km2)",1945,Open,"This large, forested park is in the heart of the Research Triangle. It was originally known as Crabtree Creek State Park. In 1950, the 1,234 acres (4.99 km2) southern section was carved out for a Blacks-only park. In 1955, the Crabtree Creek section was renamed Willium B. Umstead. It was desegregated in 1965."
